record_id,title,authors,abstract,year,doi,pmid,venue,url,publication_type,source,source_database
68,Wire-Level Interrupt-to-Decision Latency of On-Sensor MLC versus Host Inference on the NVIDIA Jetson Orin Nano: A Pre-Registered Measurement Study,,,,,,,https://arxiv.org/abs/2606.00524,,,ArXiv
69,"Forensic Implications of Localized AI: Artifact Analysis of Ollama, LM Studio, and llama.cpp",,,,,,,https://arxiv.org/abs/2603.23996,,,ArXiv
70,"Production-Grade Local LLM Inference on Apple Silicon: A Comparative Study of MLX, MLC-LLM, Ollama, llama.cpp, and PyTorch MPS",,,,,,,https://arxiv.org/abs/2511.05502,,,ArXiv
71,Optimization of Armv9 architecture general large language model inference performance based on Llama.cpp,,,,,,,https://arxiv.org/abs/2406.10816,,,ArXiv
72,Mind the Gap: A Practical Attack on GGUF Quantization,,,,,,,https://arxiv.org/abs/2505.23786,,,ArXiv
73,Holding the FP8 Quality Ceiling at 8-Bit Weights and Activations: INT8 and GGUF Post-Training Quantization of Ideogram 4.0 for Consumer GPUs,,,,,,,https://arxiv.org/abs/2606.12280,,,ArXiv
74,"CMA-ES Decoding: GECCO '26 Companion: Anais da Conferência de Computação Genética e Evolutiva, Páginas 1441–1447",,,,,,,https://doi.org/10.1145/3795101.3814726,,,ACM Digital Library
75,Taming Vision: ICMR '25: Proceedings of the 2025 International Conference on Multimedia RetrievalPages 303–311,,,,,,,https://doi.org/10.1145/3731715.3733441,,,ACM Digital Library
76,EviRAG:SIGIR '26: Proceedings of the 49th International ACM SIGIR Conference on Research and Development in Information Retrieval Pages 3753 - 3758,,,,,,,https://doi.org/10.1145/3805712.3809930,,,ACM Digital Library
77,Vision-Language: VLM4Bio'24: Proceedings of the First International Workshop on Vision-Language Models for Biomedical Applications Pages 1 - 2,,,,,,,https://doi.org/10.1145/3689096.3690770,,,ACM Digital Library
78,Why Only 3D for 3D: KDD '26: Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2 Pages 12997 - 13007,,,,,,,https://doi.org/10.1145/3770855.381897,,,ACM Digital Library
79,Test-Time Adaptation of Medical Vision-Language Models with Mixture of Modality Experts,"Hancong Wang, Yue Yu, Hairong Zheng, Tong Zhang",,,,,,https://doi.org/10.1145/3746027.3755543,,,ACM Digital Library
80,Investigating Robustness in Vision-Language Models via Adversarial Prompt Illumination,"Thai Huy Nguyen, Khoa Tran, Quan Minh Phan, Ngoc Hoang Luong",,,,,,https://doi.org/10.1145/3795095.3805104,,,ACM Digital Library
