DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3709020.3734830,LLaVA-SNIPPER: Scene-Graph-based Inference with Multimodal LLMs for Explainable Out-of-Context Misinformation,Trong-Thuan Nguyen; Minh-Triet Tran,2025,Proceedings of the 2nd Workshop on Security-Centric Strategies for Combating Information Disorder,proceedings-article,https://doi.org/10.1145/3709020.3734830,
10.1145/3804601.3804695,Ex-LLaVA: A Two-Stage Explainable Semantic Enhancement Framework for Dermatology Diagnosis via Large Vision-Language Models,Chenye Yang; Shancheng Jiang; Weite Fang; Anyi Yang; Lingyan Xiong; Jiaqi Hao,2026,"Proceedings of the 5th International Conference on Computer, Artificial Intelligence and Control Engineering",proceedings-article,https://doi.org/10.1145/3804601.3804695,
10.1145/3688863.3689575,LLaVA-Phi: Efficient Multi-Modal Assistant with Small Language Model,Yichen Zhu; Minjie Zhu; Ning Liu; Zhiyuan Xu; Yaxin Peng,2024,Proceedings of the 1st International Workshop on Efficient Multimedia Computing under Limited,proceedings-article,https://doi.org/10.1145/3688863.3689575,
10.1145/3664647.3681584,LLaVA-Ultra: Large Chinese Language and Vision Assistant for Ultrasound,Xuechen Guo; Wenhao Chai; Shi-Yan Li; Gaoang Wang,2024,Proceedings of the 32nd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3664647.3681584,
10.1145/3664647.3688992,LLaVA-VSD: Large Language-and-Vision Assistant for Visual Spatial Description,Yizhang Jin; Jian Li; Jiangning Zhang; Jianlong Hu; Zhenye Gan; Xin Tan; Yong Liu; Yabiao Wang; Chengjie Wang; Lizhuang Ma,2024,Proceedings of the 32nd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3664647.3688992,
10.1145/3731715.3734537,Reproducibility Companion Paper: u-LLaVA: Unifying Multi-Modal Tasks via Large Language Model,Jinjin Xu; Xilu Wang; Liwu Xu; Yuzhe Yang; Xiang Li; Fanyi Wang; Yanchun Xie; Yi-Jie Huang; Yaqian Li; Yunfan Hu,2025,Proceedings of the 2025 International Conference on Multimedia Retrieval,proceedings-article,https://doi.org/10.1145/3731715.3734537,
10.1145/3746027.3755271,MCA-LLaVA: Manhattan Causal Attention for Reducing Hallucination in Large Vision-Language Models,Qiyan Zhao; Xiaofeng Zhang; Yiheng Li; Yun Xing; Xiaosong Yuan; Feilong Tang; Sinan Fan; Xuhang Chen; Da-Han Wang; Xu-Yao Zhang,2025,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3746027.3755271,
10.1145/3768310.3807829,Increasing Engagement with Med-Chat using Gamification,Łukasz Sikorski; Piotr Ablewski; Jacek Matulewski,2026,Proceedings of the 63rd ACM Conference on Computers and People Research,proceedings-article,https://doi.org/10.1145/3768310.3807829,
10.1145/3680207.3765687,Poster: BlockFL-Med: Blockchain-Enabled and Lightweight Federated Learning for Smart Medical Spaces,Shantanu Pal; Saifur Rahman; Robin Doss; Chandan Karmakar,2025,Proceedings of the 31st Annual International Conference on Mobile Computing and Networking,proceedings-article,https://doi.org/10.1145/3680207.3765687,
10.1145/3746027.3758277,GEMeX-RMCoT: An Enhanced Med-VQA Dataset for Region-Aware Multimodal Chain-of-Thought Reasoning,Bo Liu; Xiangyu Zhao; Along He; Yidi Chen; Huazhu Fu; Xiao-Ming Wu,2025,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3746027.3758277,
10.1145/3787370.3787429,Real-Time Gait Frequency Monitoring Using a Wearable IMU-based System: A Pilot Study,Aneri Bhuptani; Vineet Vashista,2025,Proceedings of the 2025 7th International Conference on Advances in Robotics,proceedings-article,https://doi.org/10.1145/3787370.3787429,
10.1145/3688005,MOSS-MED: A Family of Multimodal Models Serving Medical Image Analysis,Junqi Dai; Qin Zhu; Jun Zhan; Bo Wang; Xipeng Qiu,2025,ACM Transactions on Management Information Systems,journal-article,https://doi.org/10.1145/3688005,"The remarkable advancements in large language models (LLMs) and large-scale visual encoders have laid a solid foundation for enhancing the capabilities of artificial intelligence (AI) in various application scenarios. In this study, we introduce MOSS-MED, a suite of models designed for biomedical vision-language understandings. MOSS-MED includes two models currently: MOSS-MED-2.5B and MOSS-MED-LLaMA, with different scale of their underlying LLMs. We employ a two-stage training pipeline that involves visual-text alignment and visual-involved instruction fine-tuning from both general domains and the medical domain. We evaluate the performance of MOSS-MED family on medical visual question answering (VQA) benchmarks. The results and cases demonstrate the impressive proficiency in medical expertise that MOSS-MED embodies."
10.1145/3702250.3702276,Med-SeAM: Medical Context Aware Self-Supervised Learning Framework for Anomaly Classification in Knee MRI,Akshay Daydar; Ajay Kumar Reddy; Sonal Kumar; Arijit Sur; Hanif Laskar,2024,Proceedings of the Fifteenth Indian Conference on Computer Vision Graphics and Image Processing,proceedings-article,https://doi.org/10.1145/3702250.3702276,
10.1145/3721250.3743025,Automatic Interpretation of Ancient Egyptian Texts for Education and Research,Maksim Golyadkin; Innokentiy Humonen; Yanis Plevokas; Ekaterina Bureeva; Ekaterina Alexandrova; Ilya Makarov,2025,Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Posters,proceedings-article,https://doi.org/10.1145/3721250.3743025,
10.1145/3774904.3792076,"Med-R
                    <sup>2</sup>
                    : Crafting Trustworthy LLM Physicians via Retrieval and Reasoning of Evidence-Based Medicine",Lu Keer; Zheng Liang; Da Pan; Shusen Zhang; Guosheng Dong; Huang Leng; Bin Cui; Zhonghai Wu; Wentao Zhang,2026,Proceedings of the ACM Web Conference 2026,proceedings-article,https://doi.org/10.1145/3774904.3792076,
10.1145/3787370.3787425,Real-Time Ground Reaction Force Prediction During Squatting Using Insole Pressure Sensors and Machine Learning,Dhruv Shambhu Thakkar; Vidhi Ritesh Shah; Vineet Vashista,2025,Proceedings of the 2025 7th International Conference on Advances in Robotics,proceedings-article,https://doi.org/10.1145/3787370.3787425,
10.1145/3787370.3787426,Gait Patterns in Virtual Reality: A Comparative Study of Elderly and Younger Adults,Shreya Gakhar; Vineet Vashista,2025,Proceedings of the 2025 7th International Conference on Advances in Robotics,proceedings-article,https://doi.org/10.1145/3787370.3787426,
10.1145/3807503.3819453,Med-HEAL: Analyzing and Mitigating Hallucinations in Medical LLMs with Hallucination-Aware In-Context Learning,Yiming Liao; Zeno Franco; Jose Eduardo Lizarraga Mazaba; Keke Chen,2026,"Proceedings of the 17th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics",proceedings-article,https://doi.org/10.1145/3807503.3819453,
10.1145/3698587.3701485,Med-PRSIMD: Enhanced Complex Disease Risk Prediction through Integrative Analysis of Multi-Type Data and Medical History Records,Zeming Li; Yu Xu; Debajyoti Chowdhury; Hip Fung Yip; Chonghao Wang; Lu Zhang,2024,"Proceedings of the 15th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics",proceedings-article,https://doi.org/10.1145/3698587.3701485,
